id,name,original_language,rating,rating_votes,release_freq,activity_all_time_rank,activity_month_rank,activity_week_rank,on_reading_lists,reading_list_all_time_rank,reading_list_month_rank
28668,Rebirth of a Useless Waste: Number One Evil Immortal,chinese,4.1,58,40.9,3893,2000,6928,1608,3855,3633
28670,Prison Officer of the System,chinese,4.5,4,341.5,10784,2000,2000,235,9787,9253
28682,Immortal Voices,chinese,4.3,4,341.5,11598,2000,2000,129,11025,10277
28684,When the Golden Finger Lands in the Hands of the Villain,chinese,3.8,59,18,4415,6124,3057,1136,4850,7055
28697,Aspiring Cyclist and the Domineering CEO,chinese,3.5,20,1.6,8090,6629,2000,598,6926,4303
28699,The Editor Is the Novel’s Extra,korean,3.8,202,11.1,1592,1504,584,4506,1208,1307
28709,What Should I Do If I was Forced to Marry the Elf Queen,chinese,3.6,28,56.8,7539,2000,5639,398,8216,4624
28719,"Mistress, I Want It~",chinese,4.4,62,5.8,4921,2000,6928,913,5497,4461
28723,Love When the Stars Falls,chinese,4.2,25,707,9335,2000,2000,264,9468,10278
28725,Genius Daddy in the City,chinese,3,23,46,6505,2000,2000,191,10278,9943
28727,Dawn of a New Era,chinese,4,12,46,8933,2000,2000,101,11376,9404
28729,Pocket Hunting Dimension,chinese,3.5,92,46,4054,2567,1716,673,6565,7629
28731,Transcendent Dawn,chinese,4.1,30,45.4,6659,6495,6928,231,9821,8886
28737,God of Fishing,chinese,3.7,62,44.3,5329,6574,3964,377,8399,9944
28741,Science and Technology Library,chinese,3.4,24,56.5,7108,2000,2000,271,9400,8133
28745,The Unkillable Swordsman,chinese,3.4,7,45.4,10636,2000,2000,108,11293,11034
28748,Great Emperor Myriad,chinese,2.3,3,45.4,11028,2000,2000,61,11772,11038
28750,Universe’s Ultimate BOSS,chinese,4,34,681,6539,2000,2000,297,9124,10424
28755,The Witch Nichang,chinese,4.3,69,20.4,4360,3868,1593,1237,4599,6404
28762,Reborn as the Spirit King,korean,3.9,35,42.1,3439,3360,6928,1093,4968,3115
28766,"Boku no Sensei wa, Houkago Kawaii Konyakusha",japanese,4.2,57,43,5382,2000,2000,1136,4853,4030
